Provinsi,Angka Pengangguran
ACEH,5.56
SUMATERA UTARA,5.1
SUMATERA BARAT,5.79
RIAU,3.85
JAMBI,4.45
SUMATERA SELATAN,3.97
BENGKULU,3.17
LAMPUNG,4.12
KEP. BANGKA BELITUNG,3.85
KEP. RIAU,6.94
DKI JAKARTA,6.03
JAWA BARAT,6.91
JAWA TENGAH,4.39
DI YOGYAKARTA,3.24
JAWA TIMUR,3.74
BANTEN,7.02
BALI,1.87
NUSA TENGGARA BARAT,3.3
NUSA TENGGARA TIMUR,3.17
KALIMANTAN BARAT,4.2
KALIMANTAN TENGAH,3.67
KALIMANTAN SELATAN,3.89
KALIMANTAN TIMUR,5.75
KALIMANTAN UTARA,4.01
SULAWESI UTARA,5.98
SULAWESI TENGAH,3.15
SULAWESI SELATAN,4.9
SULAWESI TENGGARA,3.22
GORONTALO,3.05
SULAWESI BARAT,3.02
MALUKU,5.96
MALUKU UTARA,4.16
PAPUA BARAT,4.31
PAPUA BARAT DAYA,6.02
PAPUA,5.81
PAPUA SELATAN,4.75
PAPUA TENGAH,2.49
PAPUA PEGUNUNGAN,1.18

